address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Rua Manuel Leiroz,Vila Penteado,31,1,0,Apartamento,1500,1928,"Rua Manuel Leiroz, Vila Penteado, São Paulo, Brazil",-23.46959695,-46.6840506,115
Rua Itapeti,Vila Alpina,42,1,1,Apartamento,1600,2066,"Rua Itapeti, Vila Alpina, São Paulo, Brazil",-23.6521271,-46.5436187,148
Rua Helena Zerrener,Liberdade,23,1,0,Studio e kitnet,753,1162,"Rua Helena Zerrener, Liberdade, São Paulo, Brazil",-23.558891,-46.6340727,60
Rua Antonieta,Picanço,60,2,1,Casa,1700,1857,"Rua Antonieta, Picanço, São Paulo, Brazil",-23.4439658,-46.5446464,139
Rua Natividade Saldanha,São Lucas,22,0,0,Studio e kitnet,900,1126,"Rua Natividade Saldanha, São Lucas, São Paulo, Brazil",-23.5929294,-46.5565465,48
Rua Virginópolis,Sacomã,80,2,1,Casa,2426,2529,"Rua Virginópolis, Sacomã, São Paulo, Brazil",-23.6150118,-46.5995405,106
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,Studio e kitnet,1250,1416,"Avenida Joaquina Ramalho, Vila Guilherme, São Paulo, Brazil",-23.5161242,-46.6084844,122
Rua Coronel Mursa,Brás,19,1,0,Studio e kitnet,1700,2016,"Rua Coronel Mursa, Brás, São Paulo, Brazil",-23.5488011,-46.6166353,99
Rua da Glória,Liberdade,28,1,0,Studio e kitnet,2000,2327,"Rua da Glória, Liberdade, São Paulo, Brazil",-23.5577081,-46.6340727,60
Rua Sete Barras,Vila Moinho Velho,70,2,1,Apartamento,3218,3832,"Rua Sete Barras, Vila Moinho Velho, São Paulo, Brazil",-23.6111114,-46.60380395,106
Rua Doutor Raul da Rocha Medeiros,Tatuapé,52,2,1,Apartamento,3800,4672,"Rua Doutor Raul da Rocha Medeiros, Tatuapé, São Paulo, Brazil",-23.5345215,-46.5629108,53
Rua Alencar Araripe,Sacomã,50,2,1,Apartamento,1712,2486,"Rua Alencar Araripe, Sacomã, São Paulo, Brazil",-23.6130408,-46.5972138,106
Rua Cônego Vicente Miguel Marino,Barra Funda,38,1,1,Apartamento,2400,2953,"Rua Cônego Vicente Miguel Marino, Barra Funda, São Paulo, Brazil",-23.52676965,-46.6641308,112
Rua Doutor Fleury Silveira,Vila Santa Maria,23,1,1,Casa,700,855,"Rua Doutor Fleury Silveira, Vila Santa Maria, São Paulo, Brazil",-23.9400937,-46.3648813,34
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194,"Rua Hermínio Lemos, Cambuci, São Paulo, Brazil",-23.5681835,-46.6200099,25
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795,"Rua do Tatuapé, Maranhão, São Paulo, Brazil",-2.5369383,-44.2830571,1
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,Apartamento,1799,1928,"Rua Monsenhor Francisco de Paula, Vila Aricanduva, São Paulo, Brazil",-23.5364709,-46.539778,70
Rua Marquês Maricá,Sacomã,38,1,0,Studio e kitnet,1030,1053,"Rua Marquês Maricá, Sacomã, São Paulo, Brazil",-23.6138341,-46.5982344,106
