iter	Passed	Remaining
545	28875	50452
546	28925	50394
547	28975	50336
548	29023	50275
549	29077	50224
550	29126	50165
551	29173	50102
552	29236	50067
553	29284	50006
554	29331	49943
555	29382	49887
556	29426	49818
557	29480	49768
558	29529	49709
559	29585	49661
560	29633	49599
561	29686	49548
562	29725	49472
563	29771	49407
564	29817	49344
565	29866	49285
566	29918	49231
567	29961	49162
568	30005	49094
569	30053	49035
570	30101	48974
571	30159	48930
572	30218	48887
573	30290	48866
574	30337	48803
575	30379	48733
576	30426	48671
577	30485	48629
578	30532	48567
579	30583	48511
580	30621	48435
581	30666	48371
582	30713	48308
583	30753	48236
584	30800	48175
585	30855	48126
586	30900	48061
587	30954	48011
588	31002	47951
589	31051	47892
590	31095	47827
591	31138	47760
592	31189	47704
593	31231	47636
594	31279	47576
595	31331	47523
596	31381	47466
597	31434	47414
598	31474	47343
599	31537	47306
600	31580	47239
601	31628	47179
602	31671	47113
603	31720	47055
604	31764	46990
605	31827	46953
606	31876	46895
607	31941	46862
608	31986	46798
609	32037	46742
610	32081	46678
611	32137	46631
612	32180	46564
613	32227	46504
614	32269	46436
615	32313	46371
616	32357	46308
617	32406	46250
618	32453	46189
619	32502	46132
620	32547	46068
621	32602	46021
622	32646	45956
623	32697	45902
624	32743	45841
625	32799	45793
626	32857	45748
627	32917	45707
628	32963	45646
629	33018	45596
630	33063	45533
631	33109	45473
632	33162	45422
633	33217	45372
634	33263	45311
635	33313	45255
636	33360	45196
637	33406	45135
638	33452	45074
639	33499	45015
640	33543	44950
641	33596	44899
642	33640	44836
643	33684	44773
644	33730	44712
645	33778	44653
646	33821	44590
647	33865	44526
648	33908	44462
649	33953	44401
650	33995	44335
651	34048	44284
652	34091	44219
653	34141	44165
654	34193	44111
655	34244	44057
656	34294	44003
657	34343	43947
658	34386	43882
659	34435	43827
660	34472	43756
661	34519	43697
662	34563	43634
663	34617	43584
664	34665	43527
665	34710	43466
666	34759	43410
667	34818	43366
668	34866	43309
669	34921	43261
670	34967	43201
671	35015	43144
672	35064	43088
673	35124	43045
674	35177	42995
675	35230	42943
676	35280	42889
677	35323	42826
678	35371	42769
679	35423	42717
680	35470	42657
681	35523	42607
682	35573	42552
683	35621	42495
684	35670	42439
685	35713	42377
686	35757	42316
687	35808	42262
688	35856	42205
689	35904	42148
690	35952	42091
691	36003	42038
692	36051	41981
693	36100	41926
694	36144	41865
695	36189	41805
696	36235	41745
697	36282	41688
698	36325	41626
699	36371	41566
700	36423	41515
701	36471	41458
702	36508	41389
703	36557	41335
704	36620	41295
705	36667	41237
706	36731	41199
707	36776	41140
708	36833	41093
709	36882	41038
710	36927	40978
711	36975	40922
712	37014	40856
713	37061	40799
714	37112	40745
715	37159	40688
716	37199	40623
717	37243	40563
718	37295	40511
719	37339	40451
720	37379	40386
721	37432	40335
722	37484	40284
723	37533	40229
724	37582	40173
725	37637	40125
726	37687	40071
727	37736	40017
728	37786	39963
729	37835	39908
730	37883	39853
731	37932	39797
732	37975	39736
733	38022	39680
734	38070	39624
735	38130	39581
736	38182	39529
737	38229	39473
738	38268	39407
739	38317	39353
740	38360	39292
741	38406	39234
742	38442	39166
743	38500	39121
744	38546	39063
745	38593	39007
746	38642	38952
747	38705	38912
748	38757	38861
749	38812	38812
750	38863	38759
751	38910	38703
752	38966	38655
753	39020	38606
754	39067	38550
755	39115	38494
756	39156	38432
757	39215	38387
758	39254	38323
759	39297	38263
760	39351	38214
761	39403	38162
762	39444	38100
763	39485	38038
764	39530	37980
765	39582	37928
766	39630	37873
767	39671	37812
768	39720	37757
769	39770	37704
770	39813	37644
771	39874	37602
772	39914	37539
773	39957	37479
774	40006	37425
775	40055	37371
776	40104	37317
777	40146	37256
778	40191	37199
779	40242	37147
780	40289	37091
781	40336	37035
782	40378	36974
783	40427	36921
784	40473	36864
785	40526	36813
786	40578	36763
787	40630	36711
788	40678	36657
789	40730	36605
790	40776	36549
791	40828	36498
792	40874	36441
793	40927	36391
794	40969	36331
795	41011	36271
796	41052	36210
797	41099	36155
798	41146	36099
799	41191	36042
800	41242	35990
801	41290	35936
802	41349	35890
803	41401	35839
804	41451	35787
805	41503	35736
806	41551	35681
807	41600	35627
808	41654	35578
809	41706	35527
810	41750	35469
811	41794	35412
812	41847	35362
813	41893	35305
814	41940	35250
815	41994	35201
816	42043	35148
817	42097	35098
818	42144	35043
819	42197	34993
820	42246	34939
821	42296	34886
822	42343	34832
823	42387	34774
824	42440	34724
825	42482	34665
826	42528	34608
827	42574	34553
828	42618	34495
829	42671	34445
830	42725	34395
831	42772	34341
832	42817	34284
833	42864	34229
834	42912	34176
835	42962	34123
836	43016	34073
837	43062	34018
838	43108	33962
839	43156	33908
840	43199	33850
841	43243	33793
842	43290	33739
843	43348	33692
844	43405	33645
845	43455	33593
846	43507	33542
847	43554	33487
848	43600	33431
849	43639	33371
850	43687	33317
851	43725	33256
852	43767	33197
853	43818	33146
854	43871	33096
855	43920	33043
856	43969	32990
857	44023	32940
858	44065	32882
859	44113	32828
860	44160	32774
861	44209	32721
862	44252	32663
863	44307	32615
864	44368	32570
865	44430	32527
866	44482	32476
867	44535	32426
868	44604	32388
869	44665	32343
870	44714	32290
871	44762	32237
872	44814	32186
873	44870	32138
874	44922	32087
875	44984	32043
876	45030	31988
877	45089	31942
878	45137	31888
879	45192	31840
880	45250	31793
881	45302	31742
882	45342	31682
883	45394	31632
884	45442	31578
885	45491	31525
886	45539	31471
887	45584	31416
888	45632	31362
889	45690	31316
890	45736	31261
891	45785	31208
892	45845	31162
893	45889	31106
894	45934	31050
895	45983	30997
896	46038	30949
897	46094	30900
898	46135	30842
899	46189	30792
900	46237	30739
901	46277	30680
902	46320	30623
903	46363	30567
904	46404	30508
905	46446	30451
906	46491	30396
907	46549	30349
908	46591	30292
909	46636	30237
910	46683	30183
911	46731	30129
912	46774	30072
913	46825	30021
914	46868	29964
915	46915	29910
916	46955	29852
917	46996	29795
918	47038	29738
919	47089	29686
920	47131	29629
921	47170	29571
922	47216	29516
923	47263	29463
924	47304	29405
925	47355	29354
926	47403	29301
927	47456	29250
928	47501	29196
929	47542	29138
930	47591	29086
931	47644	29036
932	47684	28978
933	47736	28927
934	47786	28876
935	47822	28815
936	47865	28760
937	47912	28706
938	47962	28655
939	48021	28608
940	48084	28564
941	48155	28524
942	48199	28469
943	48245	28415
944	48289	28360
945	48339	28308
946	48386	28255
947	48437	28204
948	48499	28159
949	48554	28110
950	48601	28056
951	48655	28007
952	48700	27952
953	48754	27903
954	48806	27852
955	48849	27797
956	48901	27746
957	48948	27693
958	48991	27637
959	49066	27599
960	49108	27543
961	49155	27490
962	49193	27432
963	49240	27378
964	49278	27320
965	49317	27262
966	49361	27207
967	49408	27154
968	49444	27095
969	49487	27039
970	49534	26986
971	49588	26937
972	49624	26878
973	49670	26824
974	49723	26774
975	49771	26721
976	49813	26665
977	49860	26612
978	49907	26559
979	49950	26504
980	49994	26449
981	50041	26396
982	50086	26342
983	50130	26287
984	50167	26229
985	50209	26174
986	50249	26117
987	50295	26063
988	50340	26009
989	50389	25957
990	50425	25899
991	50474	25848
992	50524	25796
993	50575	25745
994	50615	25689
995	50670	25640
996	50716	25587
997	50769	25537
998	50816	25484
999	50861	25430
1000	50901	25374
1001	50940	25317
1002	50980	25261
1003	51019	25204
1004	51063	25150
1005	51104	25095
1006	51143	25038
1007	51187	24984
1008	51242	24935
1009	51284	24880
1010	51322	24823
1011	51378	24775
1012	51422	24721
1013	51471	24669
1014	51524	24619
1015	51564	24564
1016	51611	24511
1017	51656	24458
1018	51701	24404
1019	51745	24350
1020	51792	24298
1021	51839	24245
1022	51881	24191
1023	51922	24135
1024	51969	24083
1025	52024	24034
1026	52071	23982
1027	52133	23936
1028	52202	23894
1029	52251	23842
1030	52294	23788
1031	52337	23734
1032	52391	23685
1033	52440	23633
1034	52495	23584
1035	52541	23532
1036	52585	23478
1037	52635	23427
1038	52680	23373
1039	52719	23318
1040	52760	23263
1041	52804	23209
1042	52850	23156
1043	52905	23108
1044	52955	23057
1045	53005	23006
1046	53069	22961
1047	53117	22909
1048	53171	22860
1049	53210	22804
1050	53253	22750
1051	53302	22699
1052	53356	22649
1053	53402	22597
1054	53446	22543
1055	53487	22489
1056	53553	22444
1057	53599	22392
1058	53642	22338
1059	53693	22287
1060	53745	22237
1061	53793	22185
1062	53841	22134
1063	53883	22080
1064	53936	22030
1065	53982	21977
1066	54029	21925
1067	54076	21873
1068	54127	21823
1069	54172	21770
1070	54229	21722
1071	54278	21670
1072	54327	21619
1073	54372	21566
1074	54423	21516
1075	54464	21461
1076	54511	21409
1077	54562	21359
1078	54607	21306
1079	54649	21252
1080	54703	21203
1081	54754	21152
1082	54806	21102
1083	54854	21051
1084	54903	21000
1085	54952	20948
1086	54997	20895
1087	55046	20844
1088	55090	20791
1089	55137	20739
1090	55177	20685
1091	55227	20634
1092	55277	20583
1093	55330	20533
1094	55380	20483
1095	55430	20432
1096	55481	20381
1097	55529	20330
1098	55574	20277
1099	55620	20225
1100	55678	20177
1101	55717	20123
1102	55766	20071
1103	55818	20021
1104	55862	19969
1105	55911	19917
1106	55959	19866
1107	56005	19814
1108	56056	19763
1109	56103	19712
1110	56141	19656
1111	56183	19603
1112	56231	19552
1113	56278	19500
1114	56326	19448
1115	56376	19398
1116	56415	19343
1117	56468	19294
1118	56514	19242
1119	56561	19190
1120	56606	19137
1121	56650	19085
1122	56701	19035
1123	56748	18983
1124	56801	18933
1125	56851	18883
1126	56896	18830
1127	56944	18779
1128	56996	18729
1129	57036	18675
1130	57090	18626
1131	57139	18575
1132	57183	18522
1133	57220	18468
1134	57261	18414
1135	57305	18362
1136	57352	18310
1137	57394	18257
1138	57439	18205
1139	57481	18152
1140	57530	18101
1141	57578	18050
1142	57622	17997
1143	57658	17942
1144	57706	17891
1145	57744	17837
1146	57794	17786
1147	57844	17736
1148	57902	17688
1149	57949	17636
1150	57993	17584
1151	58040	17532
1152	58098	17484
1153	58137	17431
1154	58179	17378
1155	58224	17326
1156	58265	17273
1157	58312	17221
1158	58365	17172
1159	58405	17118
1160	58453	17067
1161	58491	17013
1162	58545	16964
1163	58590	16912
1164	58642	16862
1165	58681	16809
1166	58725	16757
1167	58768	16704
1168	58816	16653
1169	58865	16603
1170	58910	16551
1171	58944	16496
1172	58994	16445
1173	59035	16393
1174	59087	16343
1175	59129	16290
1176	59163	16236
1177	59203	16182
1178	59242	16129
1179	59287	16077
1180	59356	16032
1181	59404	15981
1182	59457	15932
1183	59501	15880
1184	59551	15830
1185	59597	15778
1186	59644	15727
1187	59688	15675
1188	59735	15624
1189	59781	15573
1190	59826	15521
1191	59872	15470
1192	59921	15419
1193	59968	15368
1194	60012	15317
1195	60052	15264
1196	60106	15214
1197	60156	15164
1198	60200	15112
1199	60240	15060
1200	60299	15011
1201	60344	14960
1202	60386	14908
1203	60451	14861
1204	60498	14810
1205	60536	14757
1206	60577	14705
1207	60630	14655
1208	60674	14604
1209	60717	14552
1210	60762	14500
1211	60803	14448
1212	60851	14397
1213	60901	14347
1214	60954	14297
1215	61015	14250
1216	61062	14199
1217	61113	14149
1218	61155	14097
1219	61202	14046
1220	61242	13993
1221	61291	13943
1222	61338	13892
1223	61385	13841
1224	61431	13790
1225	61477	13739
1226	61517	13687
1227	61563	13636
1228	61604	13584
1229	61655	13534
1230	61702	13483
1231	61764	13435
1232	61808	13384
1233	61852	13332
1234	61903	13282
1235	61952	13232
1236	61992	13180
1237	62047	13131
1238	62105	13082
1239	62163	13034
1240	62212	12983
1241	62258	12932
1242	62308	12882
1243	62357	12832
1244	62404	12781
1245	62447	12730
1246	62494	12679
1247	62539	12628
1248	62580	12576
1249	62627	12525
1250	62669	12473
1251	62714	12422
1252	62762	12372
1253	62810	12321
1254	62853	12270
1255	62897	12219
1256	62946	12168
1257	62990	12117
1258	63032	12065
1259	63081	12015
1260	63121	11963
1261	63162	11911
1262	63197	11858
1263	63249	11809
1264	63291	11757
1265	63334	11706
1266	63380	11655
1267	63427	11605
1268	63466	11553
1269	63518	11503
1270	63561	11452
1271	63609	11401
1272	63660	11351
1273	63707	11301
1274	63746	11249
1275	63794	11199
1276	63836	11147
1277	63872	11095
1278	63912	11043
1279	63958	10992
1280	64000	10941
1281	64042	10890
1282	64090	10840
1283	64141	10790
1284	64181	10738
1285	64221	10686
1286	64280	10638
1287	64323	10587
1288	64370	10537
1289	64415	10486
1290	64454	10434
1291	64496	10383
1292	64539	10332
1293	64588	10282
1294	64629	10230
1295	64678	10180
1296	64717	10129
1297	64762	10078
1298	64803	10027
1299	64848	9976
1300	64886	9925
1301	64928	9873
1302	64975	9823
1303	65026	9773
1304	65073	9723
1305	65120	9673
1306	65166	9622
1307	65218	9573
1308	65263	9522
1309	65308	9472
1310	65356	9422
1311	65410	9372
1312	65456	9322
1313	65509	9273
1314	65560	9223
1315	65611	9173
1316	65660	9123
1317	65718	9074
1318	65764	9024
1319	65812	8974
1320	65851	8923
1321	65896	8872
1322	65937	8821
1323	65984	8771
1324	66031	8721
1325	66079	8671
1326	66117	8619
1327	66168	8570
1328	66216	8519
1329	66265	8470
1330	66314	8420
1331	66363	8370
1332	66407	8319
1333	66455	8269
1334	66506	8219
1335	66549	8169
1336	66596	8119
1337	66647	8069
1338	66689	8018
1339	66736	7968
1340	66785	7918
1341	66835	7868
1342	66881	7818
1343	66920	7767
1344	66965	7717
1345	67009	7666
1346	67052	7616
1347	67100	7566
1348	67150	7516
1349	67199	7466
